"Data e Hora","Chuva (mm) - Último","Chuva (mm) - 1h","Chuva (mm) - 4h","Chuva (mm) - 24h","Chuva (mm) - 96h","Chuva (mm) - 30d","Nível do rio (m) - Último"
"02/11/2024 02:15","0.0","0.0","0.0","0.0","26.4","35.6","1.35"
"02/11/2024 02:00","0.0","0.0","0.0","0.0","26.4","35.6","1.36"
"02/11/2024 01:45","0.0","0.0","0.0","0.0","26.4","35.6","1.36"
"02/11/2024 01:30","0.0","0.0","0.0","0.0","26.4","35.6","1.36"
"02/11/2024 01:15","0.0","0.0","0.0","0.0","26.4","35.6","1.36"
"02/11/2024 01:00","0.0","0.0","0.0","0.0","26.4","35.6","1.36"
"02/11/2024 00:45","0.0","0.0","0.0","0.0","26.4","35.6","1.36"
"02/11/2024 00:30","0.0","0.0","0.0","0.0","26.4","35.6","1.36"
"02/11/2024 00:15","0.0","0.0","0.0","0.0","26.4","35.6","1.37"
"02/11/2024 00:00","0.0","0.0","0.0","0.0","26.4","35.6","1.36"
"01/11/2024 23:45","0.0","0.0","0.0","0.0","26.8","35.6","1.36"
"01/11/2024 23:30","0.0","0.0","0.0","0.0","26.8","35.8","1.36"
"01/11/2024 23:15","Dado Nulo","0.0","0.0","0.0","26.8","35.8","Dado Nulo"
"01/11/2024 23:00","0.0","0.0","0.0","0.0","26.8","35.8","1.37"
"01/11/2024 22:45","0.0","0.0","0.0","0.0","26.8","35.8","1.37"
"01/11/2024 22:30","0.0","0.0","0.0","0.0","26.8","35.8","1.37"
"01/11/2024 22:15","Dado Nulo","0.0","0.0","0.0","27.0","35.8","Dado Nulo"
"01/11/2024 22:00","0.0","0.0","0.0","0.0","27.0","35.8","1.37"
"01/11/2024 21:45","0.0","0.0","0.0","0.0","27.0","35.8","1.37"
"01/11/2024 21:30","0.0","0.0","0.0","0.0","27.0","35.8","1.37"
"01/11/2024 21:15","0.0","0.0","0.0","0.0","27.0","35.8","1.37"
"01/11/2024 21:00","0.0","0.0","0.0","0.0","27.0","35.8","1.37"
"01/11/2024 20:45","0.0","0.0","0.0","0.0","27.2","35.8","1.37"
"01/11/2024 20:30","0.0","0.0","0.0","0.0","27.2","35.8","1.37"
"01/11/2024 20:15","0.0","0.0","0.0","0.0","27.4","35.8","1.37"
"01/11/2024 20:00","0.0","0.0","0.0","0.0","27.4","35.8","1.37"
"01/11/2024 19:45","0.0","0.0","0.0","0.0","27.6","35.8","1.37"
"01/11/2024 19:30","0.0","0.0","0.0","0.0","27.6","35.8","1.37"
"01/11/2024 19:15","0.0","0.0","0.0","0.0","28.0","35.8","1.37"
"01/11/2024 19:00","0.0","0.0","0.0","0.0","28.2","35.8","1.37"
"01/11/2024 18:45","0.0","0.0","0.0","0.0","28.4","35.8","1.38"
"01/11/2024 18:30","0.0","0.0","0.0","0.0","28.6","35.8","1.38"
"01/11/2024 18:15","0.0","0.0","0.0","0.0","28.8","35.8","1.38"
"01/11/2024 18:00","0.0","0.0","0.0","0.0","29.2","35.8","1.39"
"01/11/2024 17:45","0.0","0.0","0.0","0.0","29.4","35.8","1.39"
"01/11/2024 17:30","0.0","0.0","0.0","0.0","29.6","35.8","1.40"
"01/11/2024 17:15","0.0","0.0","0.0","0.0","29.8","35.8","1.41"
"01/11/2024 17:00","Dado Nulo","0.0","0.0","0.0","30.0","35.8","Dado Nulo"
"01/11/2024 16:45","0.0","0.0","0.0","0.0","30.4","35.8","1.43"
"01/11/2024 16:30","0.0","0.0","0.0","0.0","30.6","35.8","1.44"
"01/11/2024 16:15","0.0","0.0","0.0","0.0","31.0","35.8","1.45"
"01/11/2024 16:00","0.0","0.0","0.0","0.0","31.4","35.8","1.46"
"01/11/2024 15:45","0.0","0.0","0.0","0.0","31.6","35.8","1.47"
"01/11/2024 15:30","0.0","0.0","0.0","0.0","31.8","35.8","1.48"
"01/11/2024 15:15","0.0","0.0","0.0","0.0","31.8","35.8","1.49"
"01/11/2024 15:00","Dado Nulo","0.0","0.0","0.0","32.0","35.8","Dado Nulo"
"01/11/2024 14:45","0.0","0.0","0.0","0.0","32.0","35.8","1.49"
"01/11/2024 14:30","0.0","0.0","0.0","0.0","32.2","35.8","1.49"
"01/11/2024 14:15","0.0","0.0","0.0","0.0","32.2","35.8","1.49"
"01/11/2024 14:00","0.0","0.0","0.0","0.0","32.2","35.8","1.48"
"01/11/2024 13:45","0.0","0.0","0.0","0.0","32.4","35.8","1.48"
"01/11/2024 13:30","Dado Nulo","0.0","0.0","0.0","32.8","35.8","Dado Nulo"
"01/11/2024 13:15","0.0","0.0","0.0","0.0","33.0","35.8","1.48"
"01/11/2024 13:00","0.0","0.0","0.0","0.0","33.2","35.8","1.48"
"01/11/2024 12:45","Dado Nulo","0.0","0.0","0.0","33.2","35.8","Dado Nulo"
"01/11/2024 12:30","0.0","0.0","0.0","0.0","33.2","35.8","1.48"
"01/11/2024 12:15","Dado Nulo","0.0","0.0","0.0","33.2","35.8","Dado Nulo"
"01/11/2024 12:00","Dado Nulo","0.0","0.0","0.0","33.2","35.8","Dado Nulo"
"01/11/2024 11:45","0.0","0.0","0.0","0.0","33.2","35.8","1.47"
"01/11/2024 11:30","Dado Nulo","0.0","0.0","0.0","33.2","36.0","Dado Nulo"
"01/11/2024 11:15","Dado Nulo","0.0","0.0","0.0","33.2","36.0","Dado Nulo"
"01/11/2024 11:00","0.0","0.0","0.0","0.0","33.2","36.0","1.46"
"01/11/2024 10:45","0.0","0.0","0.0","0.0","33.2","36.2","1.45"
"01/11/2024 10:30","0.0","0.0","0.0","0.0","33.4","36.4","1.45"
"01/11/2024 10:15","0.0","0.0","0.0","0.0","33.4","38.2","1.44"
